2018-7-26,1,是,是,2018-7-25,2018-7-25,否,否,否,否
2018-7-27,1,是,是,2018-7-26,2018-7-26,否,否,否,否
2018-7-28,0,否,否,2018-7-27,2018-7-27,是,否,否,否
2018-7-29,0,否,否,2018-7-27,2018-7-27,是,否,否,否
2018-7-30,1,是,是,2018-7-27,2018-7-27,否,否,否,否
2018-7-31,1,是,是,2018-7-30,2018-7-30,否,是,否,否
2018-8-1,1,是,是,2018-7-31,2018-7-31,否,否,否,否
2018-8-2,1,是,是,2018-8-1,2018-8-1,否,否,否,否
2018-8-3,1,是,是,2018-8-2,2018-8-2,否,否,否,否
2018-8-4,0,否,否,2018-8-3,2018-8-3,是,否,否,否
2018-8-5,0,否,否,2018-8-3,2018-8-3,是,否,否,否
2018-8-6,1,是,是,2018-8-3,2018-8-3,否,否,否,否
2018-8-7,1,是,是,2018-8-6,2018-8-6,否,否,否,否
2018-8-8,1,是,是,2018-8-7,2018-8-7,否,否,否,否
2018-8-9,1,是,是,2018-8-8,2018-8-8,否,否,否,否
2018-8-10,1,是,是,2018-8-9,2018-8-9,否,否,否,否
2018-8-11,0,否,否,2018-8-10,2018-8-10,是,否,否,否
2018-8-12,0,否,否,2018-8-10,2018-8-10,是,否,否,否
2018-8-13,1,是,是,2018-8-10,2018-8-10,否,否,否,否
2018-8-14,1,是,是,2018-8-13,2018-8-13,否,否,否,否
2018-8-15,1,是,是,2018-8-14,2018-8-14,否,否,否,否
2018-8-16,1,是,是,2018-8-15,2018-8-15,否,否,否,否
2018-8-17,1,是,是,2018-8-16,2018-8-16,否,否,否,否
2018-8-18,0,否,否,2018-8-17,2018-8-17,是,否,否,否
2018-8-19,0,否,否,2018-8-17,2018-8-17,是,否,否,否
2018-8-20,1,是,是,2018-8-17,2018-8-17,否,否,否,否
2018-8-21,1,是,是,2018-8-20,2018-8-20,否,否,否,否
2018-8-22,1,是,是,2018-8-21,2018-8-21,否,否,否,否
2018-8-23,1,是,是,2018-8-22,2018-8-22,否,否,否,否
2018-8-24,1,是,是,2018-8-23,2018-8-23,否,否,否,否
2018-8-25,0,否,否,2018-8-24,2018-8-24,是,否,否,否
2018-8-26,0,否,否,2018-8-24,2018-8-24,是,否,否,否
2018-8-27,1,是,是,2018-8-24,2018-8-24,否,否,否,否
2018-8-28,1,是,是,2018-8-27,2018-8-27,否,否,否,否
2018-8-29,1,是,是,2018-8-28,2018-8-28,否,否,否,否
2018-8-30,1,是,是,2018-8-29,2018-8-29,否,否,否,否
2018-8-31,1,是,是,2018-8-30,2018-8-30,否,是,否,否
2018-9-1,0,否,否,2018-8-31,2018-8-31,是,否,否,否
